strategy,seed,total_steps,service_availability,total_interruption_time,total_recovery_time,total_state_loss,sla_violations,migrations_attempted,migrations_successful,migration_success_rate,total_migration_time,migration_frequency,checkpoints_created,total_checkpoint_cpu,total_checkpoint_storage,replications,total_replication_bw,syncs,total_sync_data,avg_bandwidth,avg_latency,avg_cpu_utilization,avg_memory_utilization,avg_storage_utilization,total_data_transferred,energy_proxy,objective_cost,uav_velocity
threshold_based,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,16.30390549111622,1.710921890177676,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
threshold_based,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,13.550680992174549,1.4369863801565084,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
threshold_based,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,18.1847223305446,2.002305553389108,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
threshold_based,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,13.371418236521347,1.573571635269573,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,15
mobility_aware,42,1000,1.0,0,0.0,0,0,22,22,1.0,504.2630374030402,22,63,25.199999999999974,37572.700000000004,0,0.0,0,0.0,16.43669045794204,1.7012661908411584,0.19999999999999718,0.3011547851562557,0.1290008984374998,2519.0,199.9999999999972,3.6770151870151953,15
mobility_aware,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,70,27.999999999999964,48147.0,0,0.0,0,0.0,16.30390549111622,1.710921890177676,0.19999999999999718,0.30000000000000565,0.1293238515625007,0.0,199.9999999999972,0.39999999999999436,15
mobility_aware,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,60,23.99999999999998,42163.00000000001,0,0.0,0,0.0,13.550680992174549,1.4369863801565084,0.19999999999999718,0.30000000000000565,0.12899404062500064,0.0,199.9999999999972,0.39999999999999436,15
mobility_aware,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,74,29.59999999999996,46568.50000000001,0,0.0,0,0.0,18.1847223305446,2.002305553389108,0.19999999999999718,0.30000000000000565,0.12947871093749977,0.0,199.9999999999972,0.39999999999999436,15
mobility_aware,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,64,25.599999999999973,39040.100000000006,0,0.0,0,0.0,13.371418236521347,1.573571635269573,0.19999999999999718,0.30000000000000565,0.12920957187499998,0.0,199.9999999999972,0.39999999999999436,15
rl_based,42,1000,1.0,0,0.0,0,0,18,15,0.8333333333333334,502.62042719643335,18,38,15.200000000000008,4523.837439517963,1,108.46573719382286,3,1.3533281162381172e-09,19.232359315097117,1.9673528136980574,0.19999999999999718,0.30690361994017884,0.10382484882266732,1733.3910312940002,199.9999999999972,3.4331194453703615,15
rl_based,43,1000,1.0,0,0.0,0,0,9,0,0.0,250.52749583175168,9,29,11.600000000000005,3449.999877029593,0,0.0,0,0.0,16.30390549111622,1.710921890177676,0.19999999999999718,0.30000000000000565,0.10553167664830138,0.0,199.9999999999972,1.6526374791587528,15
rl_based,44,1000,1.0,0,0.0,0,0,103,0,0.0,4470.207628108825,103,28,11.200000000000005,3330.714330154593,0,0.0,0,0.0,13.550680992174549,1.4369863801565084,0.19999999999999718,0.30000000000000565,0.10553149282261778,0.0,199.9999999999972,22.751038140544118,15
rl_based,45,1000,1.0,0,0.0,0,0,14,0,0.0,491.51760868784197,14,28,11.200000000000005,3330.714330154593,0,0.0,0,0.0,18.1847223305446,2.002305553389108,0.19999999999999718,0.30000000000000565,0.10553149282261778,0.0,199.9999999999972,2.857588043439204,15
rl_based,46,1000,1.0,0,0.0,0,0,6,0,0.0,236.7015549856408,6,28,11.200000000000005,3330.714330154593,0,0.0,0,0.0,13.371418236521347,1.573571635269573,0.19999999999999718,0.30000000000000565,0.10553149282261778,0.0,199.9999999999972,1.5835077749281983,15
agentic_manager,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,50,19.999999999999993,33569.8,0,0.0,0,0.0,16.43669045794204,1.7012661908411584,0.19999999999999718,0.30000000000000565,0.12927383593749964,0.0,199.9999999999972,0.39999999999999436,15
agentic_manager,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,34999.8,0,0.0,0,0.0,16.30390549111622,1.710921890177676,0.19999999999999718,0.30000000000000565,0.12935047499999952,0.0,199.9999999999972,0.39999999999999436,15
agentic_manager,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,34729.200000000004,0,0.0,0,0.0,13.550680992174549,1.4369863801565084,0.19999999999999718,0.30000000000000565,0.1293526234374993,0.0,199.9999999999972,0.39999999999999436,15
agentic_manager,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,34635.700000000004,0,0.0,0,0.0,18.1847223305446,2.002305553389108,0.19999999999999718,0.30000000000000565,0.12933261718749978,0.0,199.9999999999972,0.39999999999999436,15
agentic_manager,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,51,20.39999999999999,33745.799999999996,0,0.0,0,0.0,13.371418236521347,1.573571635269573,0.19999999999999718,0.30000000000000565,0.1293105656250003,0.0,199.9999999999972,0.39999999999999436,15
